colony,tag_id,body_size,age,foraging_events,group_period1,group_period2,group_period3,group_period4,visits_brood,visits_entrance,visits_rubbishpile
4,507,144.475,40,0,F,F,F,NA,8.90909,3,0.272727
4,518,162.693,344,12,F,F,F,F,14.2727,19.1818,5.90909
4,527,140.089,197,0,F,NA,NA,NA,3.54545,10.3636,0.545455
4,530,131.795,351,21,F,F,NA,NA,0.363636,79.2727,0
4,560,212.934,316,0,F,F,F,F,6.36364,63.9091,0.545455
18,14,143.003,176,59,F,F,NA,NA,2.36364,30.7273,0.181818
18,20,174.542,253,74,F,F,C,NA,1.45455,109.636,0
18,43,153.574,127,107,F,F,NA,NA,1.36364,209,0.454545
18,68,139.14,64,18,F,NA,NA,NA,0.727273,7.72727,0.818182
18,72,156.013,120,69,F,F,F,NA,1.45455,103.545,0
18,100,128.845,64,64,F,NA,NA,NA,1.81818,21.0909,0
18,126,170.602,183,1,F,C,C,C,2.72727,39.2727,1.18182
18,172,209.201,190,2,F,C,F,C,0.636364,32.3636,0.272727
18,176,151.238,71,25,F,F,F,F,0.636364,22.7273,0
18,202,202.299,232,20,F,F,F,F,0,291.909,0
18,212,124.234,155,5,F,F,NA,NA,3.63636,59,0
18,215,177.229,183,17,F,F,F,NA,0,174.636,0
18,220,150.921,99,48,F,NA,NA,NA,1.45455,126.455,0.0909091
18,243,132.015,211,61,F,F,F,NA,4.36364,90,0.181818
18,256,184.978,190,9,F,F,C,C,0.363636,14,0
18,268,176.505,162,46,F,F,F,F,0.272727,14.4545,0
18,329,154.302,113,36,F,NA,NA,NA,1.18182,51.6364,0
18,398,120.702,78,11,F,F,F,NA,1.54545,218.727,0
18,458,145.221,85,43,F,NA,NA,NA,5.36364,123.364,0.636364
18,507,145.279,92,12,F,F,NA,NA,1.27273,11.4545,0.363636
18,564,214.283,183,11,F,F,C,C,1,26.1818,0.181818
18,607,205.879,139,15,F,F,F,NA,3.18182,124.273,0.818182
21,0,142.678,5,128,F,F,F,F,17,45.9091,0
