Scientific_name,English_name,TipLabel,Female_plumage_score,Male_plumage_score
Amalocichla sclateriana,Greater Ground-robin,Amalocichla_sclateriana,45.27777778,42.63888889
Amandava amandava,Red Avadavat,Amandava_amandava,44.86111111,61.94444444
Amandava formosa,Green Avadavat,Amandava_formosa,47.22222222,38.61111111
Amandava subflava,Zebra Waxbill,Amandava_subflava,36.66666667,46.66666667
Amaurocichla bocagei,Sao Tome Short-tail,Amaurocichla_bocagei,44.72222222,44.72222222
Amaurospiza carrizalensis,Carrizal Seedeater,Amaurospiza_carrizalensis,38.61111111,65.69444444
Amaurospiza concolor,Blue Seedeater,Amaurospiza_concolor,35.55555556,68.05555556
Amaurospiza moesta,Blackish-blue Seedeater,Amaurospiza_moesta,45.83333333,60.55555556
Amblycercus holosericeus,Yellow-billed Cacique,Amblycercus_holosericeus,63.19444444,61.94444444
Amblyornis flavifrons,Golden-fronted Bowerbird,Amblyornis_flavifrons,48.05555556,59.16666667
Amblyornis inornata,Vogelkop Bowerbird,Amblyornis_inornata,43.05555556,40
Amblyornis macgregoriae,Macgregor's Bowerbird,Amblyornis_macgregoriae,45.55555556,42.36111111
Amblyornis subalaris,Streaked Bowerbird,Amblyornis_subalaris,41.25,49.86111111
Amblyospiza albifrons,Grosbeak Weaver,Amblyospiza_albifrons,46.11111111,50.69444444
Amblyramphus holosericeus,Scarlet-headed Blackbird,Amblyramphus_holosericeus,66.66666667,65.13888889
Ammodramus aurifrons,Yellow-browed Sparrow,Ammodramus_aurifrons,41.80555556,40.55555556
Ammodramus bairdii,Baird's Sparrow,Ammodramus_bairdii,45.13888889,45.13888889
Ammodramus caudacutus,Saltmarsh Sparrow,Ammodramus_caudacutus,46.80555556,48.33333333
Ammodramus henslowii,Henslow's Sparrow,Ammodramus_henslowii,47.22222222,51.25
Ammodramus humeralis,Grassland Sparrow,Ammodramus_humeralis,42.22222222,43.19444444
Ammodramus leconteii,Le Conte's Sparrow,Ammodramus_leconteii,43.75,43.47222222
Ammodramus maritimus,Seaside Sparrow,Ammodramus_maritimus,50.55555556,51.66666667
Ammodramus nelsoni,Nelson's Sparrow,Ammodramus_nelsoni,42.36111111,42.08333333
Ammodramus savannarum,Grasshopper Sparrow,Ammodramus_savannarum,44.86111111,41.94444444
Ammomanes cinctura,Bar-tailed Lark,Ammomanes_cinctura,47.22222222,47.08333333
Ammomanes deserti,Desert Lark,Ammomanes_deserti,41.66666667,40.41666667
Ammomanes grayi,Gray's Lark,Ammomanes_grayi,50.13888889,49.44444444
Ammomanes phoenicura,Rufous-tailed Lark,Ammomanes_phoenicura,36.25,38.33333333
Ampeliceps coronatus,Golden-crested Myna,Ampeliceps_coronatus,50.69444444,51.52777778
Ampelioides tschudii,Scaled Fruiteater,Ampelioides_tschudii,43.05555556,55.13888889
Ampelion rubrocristatus,Red-crested Cotinga,Ampelion_rubrocristatus,47.91666667,48.19444444
Ampelion rufaxilla,Chestnut-crested Cotinga,Ampelion_rufaxilla,54.16666667,51.25
Amphilais seebohmi,Grey Emu-tail,Amphilais_seebohmi,45.41666667,46.52777778
Amphispiza belli,Sage Sparrow,Amphispiza_belli,52.22222222,51.94444444
Amphispiza bilineata,Black-throated Sparrow,Amphispiza_bilineata,54.72222222,51.38888889
Amytornis ballarae,Kalkadoon Grasswren,Amytornis_ballarae,45.13888889,41.80555556
Amytornis barbatus,Grey Grasswren,Amytornis_barbatus,51.25,52.5
Amytornis dorotheae,Carpentarian Grasswren,Amytornis_dorotheae,52.08333333,51.94444444
Amytornis goyderi,Eyrean Grasswren,Amytornis_goyderi,47.91666667,45
Amytornis housei,Black Grasswren,Amytornis_housei,46.25,47.91666667
Amytornis merrotsyi,Short-tailed Grasswren,Amytornis_merrotsyi,44.86111111,45.27777778
Amytornis purnelli,Dusky Grasswren,Amytornis_purnelli,42.22222222,39.72222222
Amytornis striatus,Striated Grasswren,Amytornis_striatus,42.08333333,42.22222222
Amytornis textilis,Thick-billed Grasswren,Amytornis_textilis,38.75,38.61111111
Amytornis woodwardi,White-throated Grasswren,Amytornis_woodwardi,51.38888889,50.69444444
Anabacerthia amaurotis,White-browed Foliage-gleaner,Anabacerthia_amaurotis,41.94444444,41.38888889
Anabacerthia striaticollis,Montane Foliage-gleaner,Anabacerthia_striaticollis,41.94444444,42.22222222
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Anabacerthia_variegaticeps,46.52777778,42.77777778
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,Anabazenops_dorsalis,45,43.47222222
Anabazenops fuscus,White-collared Foliage-gleaner,Anabazenops_fuscus,46.80555556,46.38888889
Anairetes agilis,Agile Tit-tyrant,Anairetes_agilis,41.38888889,45.41666667
Anairetes agraphia,Unstreaked Tit-tyrant,Anairetes_agraphia,50,49.30555556
Anairetes alpinus,Ash-breasted Tit-tyrant,Anairetes_alpinus,53.61111111,51.66666667
Anairetes fernandezianus,Juan Fernandez Tit-tyrant,Anairetes_fernandezianus,57.77777778,54.02777778
Anairetes flavirostris,Yellow-billed Tit-tyrant,Anairetes_flavirostris,57.5,55.69444444
Anairetes nigrocristatus,Maranon Tit-tyrant,Anairetes_nigrocristatus,58.19444444,56.66666667
Anairetes parulus,Tufted Tit-tyrant,Anairetes_parulus,48.05555556,51.38888889
Anairetes reguloides,Pied-crested Tit-tyrant,Anairetes_reguloides,53.19444444,57.36111111
Anaplectes rubriceps,Red-headed Weaver,Anaplectes_rubriceps,44.30555556,69.44444444
Ancistrops strigilatus,Chestnut-winged Hookbill,Ancistrops_strigilatus,42.22222222,39.02777778
Andropadus ansorgei,Ansorge's Greenbul,Andropadus_ansorgei,41.80555556,44.72222222
Andropadus curvirostris,Plain Greenbul,Andropadus_curvirostris,42.22222222,41.94444444
Andropadus gracilirostris,Slender-billed Greenbul,Andropadus_gracilirostris,45,43.19444444
Andropadus gracilis,Grey Greenbul,Andropadus_gracilis,40.83333333,41.11111111
Andropadus importunus,Sombre Greenbul,Andropadus_importunus,40.97222222,42.77777778
Andropadus latirostris,Yellow-whiskered Greenbul,Andropadus_latirostris,43.61111111,45
Andropadus masukuensis,Shelley's Greenbul,Andropadus_masukuensis,40.83333333,42.63888889
Andropadus milanjensis,Stripe-cheeked Greenbul,Andropadus_milanjensis,42.5,42.91666667
Andropadus montanus,Cameroon Montane Greenbul,Andropadus_montanus,43.33333333,41.94444444
Andropadus nigriceps,Eastern Mountain Greenbul,Andropadus_nigriceps,51.52777778,54.58333333
Andropadus tephrolaemus,Western Mountain Greenbul,Andropadus_tephrolaemus,43.33333333,42.22222222
Andropadus virens,Little Greenbul,Andropadus_virens,42.77777778,42.22222222
Androphobus viridis,Papuan Whipbird,Androphobus_viridis,47.22222222,52.08333333
Anisognathus igniventris,Scarlet-bellied Mountain-tanager,Anisognathus_igniventris,61.25,59.58333333
Anisognathus lacrymosus,Lacrimose Mountain-tanager,Anisognathus_lacrymosus,51.38888889,50.55555556
Anisognathus melanogenys,Santa Marta Mountain-tanager,Anisognathus_melanogenys,52.91666667,53.19444444
Anisognathus notabilis,Black-chinned Mountain-tanager,Anisognathus_notabilis,60.55555556,58.05555556
Anisognathus somptuosus,Blue-winged Mountain-tanager,Anisognathus_somptuosus,57.36111111,57.77777778
Anomalospiza imberbis,Cuckoo Finch,Anomalospiza_imberbis,39.30555556,43.19444444
Anthochaera carunculata,Red Wattlebird,Anthochaera_carunculata,54.16666667,54.16666667
Anthochaera chrysoptera,Little Wattlebird,Anthochaera_chrysoptera,53.19444444,47.91666667
Anthochaera lunulata,Western Wattlebird,Anthochaera_lunulata,48.88888889,45
Anthochaera paradoxa,Yellow Wattlebird,Anthochaera_paradoxa,46.66666667,43.88888889
Anthornis melanura,New Zealand Bellbird,Anthornis_melanura,39.86111111,49.58333333
Anthoscopus caroli,African Penduline-tit,Anthoscopus_caroli,47.36111111,46.11111111
Anthoscopus flavifrons,Forest Penduline-tit,Anthoscopus_flavifrons,51.25,50.83333333
